FieldID,Var1,Var2,Var3,Var4,Var5,Var6
235,32.375,8.09375,3.6,62,17,0
236,28.125,7.03125,2.79,35,17,0
237,31.5,79,1.27,23,10,0
238,73.5,18.375,1.88,35,15,0
239,54.5,13.625,1.55,20,12,0
240,32,81,1.12,30,7,0
241,63,15.75,1.34,40,8,0
242,47,11.75,1.46,38,13,0
243,27.25,6.8125,3.58,65,16,0
244,31.875,7.96875,3.3,61,17,0
245,89,22.25,2.82,71,5,0
246,62.5,15.625,2.04,28,8,0
247,78,19.5,2.27,32,16,0
248,27.625,6.90625,2.16,48,17,0
249,57.5,14.375,1.61,27,8,0
250,98.5,24.625,2.69,105,20,0
251,72.5,18.125,2.01,111,10,0
252,30,61,0.68,21,2,0
253,38,87,1.3,32,11,0
254,31.5,80,1.08,29,9,0
255,41.5,89,1.14,28,9,0
256,32,8,0.76,31,3,0
257,28,59,0.47,16,2,0
258,38.5,9.625,1.19,35,3,0
259,57.5,14.375,1.71,38,10,0
260,87.5,21.875,2.67,71,12,0
261,68,17,1.88,49,11,0
262,46.5,90,1.59,48,3,0
263,48.5,12.125,1.8,54,4,0
264,31,57,0.67,34,6,0
265,39.5,95,1.37,22,4,0
266,41,10.25,1.18,30,5,0
267,48,90,1.07,21,3,0
268,40.5,58,1.54,26,3,0
269,43,88,1.45,24,3,0
270,49.5,55,0.95,35,3,0
271,34.5,68,1.51,27,7,0
272,32,92,1.5,29,3,0
273,53,82,1.4,32,1,0
274,1.5,11,0.18,1,0,0
275,36,9,1.69,24,3,0
276,46.5,79,1.21,29,5,0
277,43,97,1.29,46,15,0
278,44.5,11.125,1.62,25,9,0
279,45,11.25,1.14,60,6,0
280,41,10.25,1.2,51,3,0
281,61,15.25,1.85,56,6,0
282,57,14.25,2.34,26,14,0
283,26.625,6.65625,1.59,34,10,0
284,33.625,8.40625,2.48,54,17,0
285,51.5,12.875,0.95,19,2,0
286,50.5,82,1.62,31,11,0
287,64,16,1.16,17,6,0
288,45.5,11.375,1.87,42,12,0
289,70,17.5,2.77,70,9,0
290,46,11.5,1.66,48,16,0
291,54.5,13.625,1.78,63,2,0
292,44.5,11.125,1.27,41,10,0
293,60,15,2.3,85,10,0
294,67,16.75,2.33,66,4,0
295,52.5,92,1.69,47,16,0
296,45,11.25,1.82,41,10,0
297,69,17.25,2.21,65,11,0
298,47,11.75,1.71,44,16,0
299,40,10,1.51,34,4,0
300,57.5,14.375,1.76,54,9,0
301,34.5,96,1.13,31,6,0
302,59,14.75,1.21,26,6,0
303,23.5,64,0.46,13,1,0
304,32.5,84,0.81,14,2,0
305,34.5,8.625,0.89,8,1,0
306,35,83,0.48,9,3,0
307,59.5,14.875,1.52,37,4,0
308,49,87,1.29,27,2,0
309,37.5,69,0.84,23,6,0
310,40.5,87,0.75,15,13,0
311,22.5,33,0.61,7,2,0
312,31,53,0.87,17,2,0
313,53.5,13.375,1.49,32,9,0
314,72.25,18.0625,5.41,120,28,0
315,37,9.25,0.93,23,2,0
316,40.5,10.125,3.29,76,22,0
317,34,8.5,0.85,6,2,0
318,47.5,11.875,3.1,66,23,0
319,72,18,0.98,16,8,0
320,76.5,19.125,1.54,22,8,0
321,60.5,15.125,1.14,15,6,0
322,57,14.25,0.97,26,10,0
323,73,18.25,1.02,22,8,0
324,43,98,1.07,12,1,0
325,70.5,17.625,0.98,11,5,0
326,73,18.25,1.31,21,9,0
327,47,11.75,1.03,20,11,0
328,46.5,99,0.82,22,3,0
329,37.375,9.34375,2.33,35,7,0
330,64.5,16.125,1.33,42,2,0
331,59.375,14.84375,5.13,85,32,0
332,53,13.25,0.84,12,7,0
333,47,11.75,0.92,13,3,0
334,74,18.5,1.65,21,12,0
335,25.75,6.4375,1.87,34,9,0
336,72,18,1.4,27,10,0
337,27.875,6.96875,2.15,21,6,0
338,58,14.5,1.11,15,9,0
339,95,23.75,1.39,26,12,0
340,52,13,1.04,27,9,0
341,79,19.75,1.3,35,8,0
342,66.5,16.625,1.67,25,8,0
343,72,18,1.06,11,12,0
344,93,23.25,1.43,14,10,0
345,51.75,12.9375,3.2,37,17,0
346,29.125,7.28125,1.72,28,10,0
347,45,11.25,0.95,11,3,0
348,33,94,0.74,20,2,0
349,40,10,1.09,9,5,0
350,38.5,9.625,0.86,16,3,0
351,51.5,98,0.61,23,10,0
352,32.75,8.1875,2.37,36,5,0
